Question,Answer
Are there any instructions for ulimit settings for WebSphere running on Linux? Are there any instructions for ulimit settings for WebSphere running on Linux? ,WebSphere Application Server Support recommends setting the ulimit -u or nproc to a value of 131072 when running on Linux to safely account for all the forked threads within processes that could be created.
Can I apply a TIP 2.2 fix pack directly to a TIP 2.1 installation? Can I apply a TIP 2.2 fix pack directly to a TIP 2.1 installation? ,"In order to apply TIP 2.2 fix packs, the target TIP installation must already be at TIPCore 2.2.0 or newer. TIP 2.1 installations must be upgraded to TIP 2.2 using the TIP 2.2.0.1 feature pack."
"NMA agent installation failure 

Hello, I'm trying to install the NMA agent from ITM for Virtual Environment package on a Linux x86-64. The preferred method would be remote install, but I'm not even able to perform tamcd addbundles as it complains about missing prerequisites.

If I try to install the agent locally on the Linux machine, the list of available agents does not include NMA agent at all.

Is there a solution to this problem?","The issues should be corrected at Installer level, APAR IV84919 has been opened to fix them. 

Anyway, since the correction involves the installation component, it will not be available until next release, when the Installation package will be built again."
"Help with Action required for IIB V9 & WMB V8 Hypervisor Editions  for security vulnerabilities in Red Hat Linux 

I need to understand details regarding Action required for IBM Integration Bus Hypervisor Edition V9.0 and WebSphere Message Broker Hypervisor Edition V8.0 for security vulnerabilities in Red Hat Linux.

Where can I find this information?",WebSphere Message Broker Hypervisor Edition
"What can be done about ""Too many open files"" messages in the DASH systemOut? What can be done about ""Too many open files"" messages in the DASH systemOut log? ","The command ulimit -Xa will display all current settings that are set for the current login session, where X represents the hard (H) or soft (S) limits to be displayed. By default, if no value is supplied for X, soft limits will be displayed. However if a process is already running, it may have a different ulimit configurations than the current shell that you run the ulimit -a command in."
"Does Portal 6.1.x support Oracle 12c? 

We are running Portal Server v6.1.0.6 and I need to know what the newest version of Oracle that is supported with the WPS 6.1.0.6?

Specifically, if Oracle 12c is not supported, what version of Oracle 11g is?",Oracle 11gR2 V11.2.0.1 (including RAC)
Why does the transaction time out when I try to delete a virtual portal? Transaction timeout occurs when I try to delete a virtual portal. Managed pages is enabled.   Why?,"With the introduction of Managed Pages in WebSphere Portal 8.0, virtual portal deletions require more transaction time when removing from the system. This increased transaction time can lead to an error situation if either of the following timeouts is exceeded: 

 * the total and/or maximum transaction lifetime timeout value(s) for the server 
 * the WCM component's transaction timeout"
"i cannot enter SPSS statistics trial program 

I've downloaded the 14-days trial of SPSS subscription for 32bit, windows. After opening the program I'm asked to login and after entering my username and password a blank page comes up. And there is no way to proceed from here. I already saw previous answers about SPSS trial Login error, and there is a link(https://ibm.box.com/s/huaafbjzabkyblh47n7g4l0o4gxp4zdy) to download the zip file of 'jxbrowser'. But i cannot enter the link, and the webpage says ""probably the address was changed or deleted.""

i'm using Windows 7(32bit), and just want to know how can i resolve it.
","The most likely cause of this issue is installation of the 32bit IBM SPSS Statistics Subscription software on a 64bit machine. To fix the issue, please uninstall the 32bit and download and install the 64bit application from your Products & Services window on IBM.com. If you find that this does not resolve your issue, you have a new issue. Please open a Service Request using the Client Support Portal: http://ibm.biz/IBMClientSuccessPortal"
"HATS Plugin Download 

Hi

I have RDZ 9.0 and want to install the HATS plugin.

I've downloaded from this link:

http://www.ibm.com/developerworks/downloads/ws/whats/

HATS 9.0.0.0 but it won't install because RDZ itself is not enough and it sais I need one of the following:

IBM Rational Application Developer for WebSphere Software

IBM Rational Software Architect for WebSphere Software

IBM Rational Developer for i for SOA Construction

IBM Rational Business Developer

IBM Integration Developer

which I don't have.

Where can I download the HATS version that is compatible with RDZ 9.0 and doesn't need anything else?","For installation instructions, see Installing HATS [http://pic.dhe.ibm.com/infocenter/hatshelp/v90/topic/com.ibm.hats.doc/doc/gsinstal.htm] in the Rational Host Access Transformation Services (HATS) V9.0 Information Center."
"How do I transfer my SPSS 24 license key to a new computer? I need to transfer my SPSS 24 license key to a new computer. I was able to download IBM® SPSS® Statistics Standard GradPack 24 for Windows (12-Mo Rental) onto the new computer, but every time I put in the activation code, I am met with this error message: 

Authorization failed.: You are not allowed to generate any more new licenses.
End Of Transaction. 
No additional authorizations are permitted on this code. 
What should I do?","For installation & licensing issues on Student version and Graduate pack, contact your vendor."
"Where can I find the ITM VMware VI Agent Reports package for v 7.2? 

I am only able to find ver 6x reports. My initial search for the v7.2 reports took me to this link but it does not have v 7.2:

https://www.ibm.com/developerworks/community/wikis/home?lang=en#!/wiki/W22ac5f3ebabf_4ff4_bd55_1a897c9a443e/page/Report%20Catalog
","Download RELEASE DATE LANGUAGE SIZE(Bytes) Download Options 
What is Fix Central(FC)? [https://www.ibm.com/support/fixcentral/help?page=swfaqs] 7.2.0.2-TIV-ITM_VMWVI_RPT-IF0001 23 Jan 2015 English 53552332 FC"
"Why are we not able to create new pages using the Manage Pages Portlet? We are using Portal 8.5 on Windows,

From WebSphere Portal Administration console. we go to ‘Manage Pages’- > Select ‘Content root’ item from table -> ‘New Page’ button, after entering the new page details and hitting OK we receive following error:

EJPAS0017E: Unable to create PageName

The error in SystemOut.log shows:

     DefaultTransa E   Message: Could not save object in repository.,
     Cause: javax.jcr.RepositoryException: RT0002E: Error while calling a function createItems of PLS data manager
     com.ibm.workplace.wcm.services.repository.RepositoryException:
     Message: Could not save object in repository., Cause: javax.jcr.RepositoryException: RT0002E: Error while calling a function createItems of PLS data manager
     ...
     
     Caused by: com.ibm.icm.da.DBAccessException:
     java.sql.SQLFeatureNotSupportedException: DSRA1300E: Feature is not implemented: PreparedStatement.setBinaryStream
      at com.ibm.icm.da.portable.data.WideTableData.changeItems(WideTableData.java:857)",The JDBC driver does not meet WebSphere Portal v8's prerequisites.
Help with Security Bulletin: Apache Commons FileUpload Vulnerabilities in IBM WebSphere MQ File Transfer Edition component (CVE-2016-1000031) I need to understand details regarding Security Bulletin: Apache Commons FileUpload Vulnerabilities in IBM WebSphere MQ File Transfer Edition component (CVE-2016-1000031). ,"CVEID:CVE-2016-1000031 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-1000031]
DESCRIPTION:Apache Commons FileUpload, used in IBM WebSphere MQ File Transfer Edition, could allow deserialization of untrusted data in the DiskFileItem class of the FileUpload library. A remote attacker could exploit this vulnerability to execute arbitrary code under the context of the current process.
CVSS Base Score: 9.8
CVSS Temporal Score: Seehttps://exchange.xforce.ibmcloud.com/vulnerabilities/117957 [https://exchange.xforce.ibmcloud.com/vulnerabilities/117957]for the current score
CVSS Environmental Score*: Undefined
CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)"
"TWS / DWC and WebSphere 8.5.5.4+ WebSphere for TWS & DWC were upgraded to 8.5.5.4 on most servers in a particular environment. However, any TWS servers that still had 8.5.5.2, could no longer be seen by the new DWC / WAS 8.5.5.4 servers. Those lower WAS version engines could not be added to the DWC.

Errors seen are:

     AWSUI0833E The operation could not be completed. There has been a communication failure. 
     The internal message is: AWSJCO005E WebSphere Application Server has given the following error: Error getting WsnNameService properties. 

What is the reason?",DWC 9.3 is packaged with WAS 8.5.5.4 and due to known vulnerabilities has SSLV3 disabled. However TWS 9.2 and earlier versions use SSLv3 by default and so the DWC 9.3 cannot connect
Does DataPower support SHA-2? Is DataPower able to support SHA-2 ?,"Yes, if a Certificate Authority(CA) signs a certificate using SHA2(SHA-256), IBM Websphere DataPower SOA Appliance can validate CA's signature on the certificate while building trust chain from the DataPower ValCred."
"Request fails with ""non idempotent request method - RFC 2616 sec 10.3. "" When a request is routed through DataPower and a redirect is done on a POST, the redirect will fail in DataPower and we can expect the following message to be logged in the error message: ""non idempotent request method - RFC 2616 sec 10.3.""  How do I solve the problem?","To resolve the issue, the IBM WebSphere DataPower SOA appliance web application firewall can be configured to handle these ""302 Redirects""."
Scheduled reports fail after changing password Scheduled reports fail after changing password,"For IBM Cognos Business Intelligence(BI) deployments that do not implement a single sign-on (SSO) solution, stored credentials used for running scheduled activities can be automatically updated. When a user logs into the IBM Cognos BI application with a user name and password, the trusted credential used to run schedules when not logged in will be refreshed as well. This removes the burden from the end user of having to remember to manually refresh their trusted credentials and may eliminate failed activities caused by changed or expired user credentials.
The credential refresh behaviour is controlled by the Security > Authentication > Automatically renew trusted credential setting in Cognos Configuration."
"ITNM 4.2 Fix Pack 3 link and build number?. ITNM 4.2 FP3 is available, if yes then where we can download?. ",http://www.ibm.com/support/knowledgecenter/en/SSSHRK_4.2.0/itnm/ip/wip/relnotes/reference/nmip_rn.html?view=kc#relnotes__description
"How can multiple TDWC users logon into TDWC with same TWS user id? 

Given that one TDWC user is already accessing TDWC and a second TDWC user using the same logon id wants to logon to TDWC sees the following error:

Another user is currently logged in with the same user ID. Select from the following options:

    List item

Log out the other user with the same user ID. You can recover changes made during the other user's session.

    List item

Return to the Login page and enter a different user ID.

How can multiple users logon without one user needing to logout?","Only TIP version 2.1 and higher support multiple logins using same user Id. 

Follow below steps to configure Tivoli Integrated Portal to allow multiple users to log in using the same user Id and password. 

1. Log in as an administrative user. 

2. Navigate to: 

tip_home_dir/profiles/TIPProfile/config/cells/TIPCell/applications/isc.ear/deployments/isc/isclite.war/WEB-INF/ 

3. Edit consoleProperties.xml. 

4. Locate the property with a id attribute of ENABLE.CONCURRENT.LOGIN and set its value to true. 

5. Save the file and exit from the text editor. 

6. Restart TIP server."
We want to backout the Cognos component of Business Monitor to a previous version. What do we have to take care of? We want to backout the Cognos component of Business Monitor to a previous version. What do we have to take care of? ,"Stop the Cognos service and ensure that Cognos Configuration is not running. 
 2. When setting up the configuration of a newly installed Cognos BI environment, it is important to note that if you configure the new installation against the original content store, it is permanently upgraded to the new version and can no longer be used in the original environment. As a result, always create a backup of the content store prior to upgrading.
    If a roll back to the original version is required, you can simply restore the backup. However, any work done after the content store has been upgraded (reports, models, security, etc...) to the new version will be lost, as all of this information is saved in the content store.
    If you try to revert back to an earlier environment configured against the upgraded content store, you will get an error similar to the one below:
    CM-CFG-5027 Unable to upgrade the content store to the to the version N that is compatible with this version of Content Manager. The current version of the content store is M. 
 3. Also, please refer to the notes on the fix pack which would include perquisites on Backup/Restore of content store and also other requirements. 
 4. For versions 8 - 10.2.1: In the <cognos_install>/uninstall/backup directory there will be a list of date stamped folders with the applied fix packs and/or interim fixes. 
    For versions 10.2.1 FP1 and above: This is stored in the <cognos_install>/bkp directory 
 5. Go into the folders and check the cmplst.txt file and check for the correct version to revert to. 
 6. Once the correct version is found, copy the contents of the whole folder and paste it at the <cognos_install> level, which will overwrite the files applied by fix pack or interim fix update. 
 7. Start the Cognos service."
"How to remove the default -Xcompressedrefs from my WebSphere Application Server My understanding is that for performance reasons, the WebSphere Application server on 64bit JVMs is, by default, using compressed references (-Xcompressedrefs). Due to native OutOfMemory error, I would like to remove that default, so there is no such limitation imposed on my native memory size. ","To avoid this problem, the generic JVM argument [http://www-01.ibm.com/support/docview.wss?uid=swg21417365] -Xgc:preferredHeapBase=<address> [http://publib.boulder.ibm.com/infocenter/javasdk/v6r0/topic/com.ibm.java.doc.diagnostics.60/diag/understanding/mm_compressed_references.html] can be used to ensure the Java heap is allocated above the 4GB address space. This will leave more room for the Class Pointer and Monitor/Lock memory."
Is it recommended to use symbolic links when installing Omnibus 8.1 fixpacks? Is it recommended to use symbolic links when installing Omnibus 8.1 fixpacks?,You install IBM Installation Manager by using symbolic links at the root level for the agent data location or the installation location or for both locations and after a system change or system restart you cannot start Installation Manager or you cannot use Installation Manager to update or uninstall products.
Security Bulletin: IBM MQ Appliance is affected by a Network Security Services (NSS) vulnerability (CVE-2017-5461) I need to understand details regarding Security Bulletin: IBM MQ Appliance is affected by a Network Security Services (NSS) vulnerability (CVE-2017-5461). Where can I find this information?,"CVEID:CVE-2017-5461 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-5461]
DESCRIPTION:Mozilla Firefox could allow a remote attacker to execute arbitrary code on the system, caused by an out-of-bounds write during Base64 decoding operation in the Network Security Services (NSS) library. By persuading a user to visit a specially-crafted website, a remote attacker could exploit this vulnerability using unknown attack vectors to execute arbitrary code on the vulnerable system or cause a denial of service.
CVSS Base Score: 8.8
CVSS Temporal Score: Seehttps://exchange.xforce.ibmcloud.com/vulnerabilities/125002 [https://exchange.xforce.ibmcloud.com/vulnerabilities/125002]for the current score
CVSS Environmental Score*: Undefined
CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H)"
"Non-admin users cannot access webDAV filestore. What is the likely reason? A non-admin user trying to access the webDAV filestore is unable to do so and they see the below exception in the portal logs:
Caused by: com.ibm.icm.da.DBAccessException: User id can not be null at com.ibm.icm.da.portable.connection.Logon.logon(Logon.java:159) at com.ibm.icm.da.portable.connection.ConnectionManager.logon(ConnectionManager.java:45) ","Create/update the store.puma_default.user.fbadefault.filter custom property for the WP PumaStoreService Resource Environment Provider via the Integrated Solutions Console to an attribute that exists for all Portal users in the backend user registry (for example, ""cn"")."
What is the equivalent of the .LG0 file for the OS agent - A4 - on i5 systems? What is the equivalent of the .LG0 file for the OS agent - A4 - on i5 systems? ,"The pdcollect tool for the IBM i OS agent allows you to easily and quickly collect the most commonly used information from an IBM i system for IBM Support to investigate a problem. The tool gathers log files, configuration information, version information, job information, message queue information, and basic system information."
"Authorization code missing for SPSS 25? I purchased the IBM SPSS from Amazon, and I do not know where to locate the authorization code of license code/key. Can anyone help me? ","For installation & licensing issues on Student version and Graduate pack, contact your vendor."
Unable to add the document using content Navigator. We are getting the following error code. CIWEB1158. The user is unable to add the document using content Navigator. We are getting the following error code. CIWEB1158. ,User does not have Create_Instance right on the security permission of the ReferentialContainmentRelationship and DynamicReferentialContainmentRelationship classes and cannot create these objects when adding documents.
Does Linux KVM monitoring agent support CANDLEDATA function? Does Linux KVM monitoring agent in ITM support CANDLEDATA function? ,The CANDLEDATA mechanism is available with ITM 6.30.05.00.
Help with Security Bulletin: Malicious File Download vulnerability in IBM Business Process Manager (BPM) and WebSphere Lombardi Edition (WLE) - CVE-2016-9693 Where can I find information for Security bulletin: Malicious File Download vulnerability in IBM Business Process Manager (BPM) and WebSphere Lombardi Edition (WLE) - CVE-2016-9693? ,"CVEID:CVE-2016-9693 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-9693]
DESCRIPTION:IBM Business Process Manager has a file download capability that is vulnerable to a set of attacks. Ultimately, an attacker can cause an unauthenticated victim to download a malicious payload. An existing file type restriction can be bypassed so that the payload might be considered executable and cause damage on the victim's machine.
CVSS Base Score: 7.1
CVSS Temporal Score: Seehttps://exchange.xforce.ibmcloud.com/vulnerabilities/119517 [https://exchange.xforce.ibmcloud.com/vulnerabilities/119517]for the current score
CVSS Environmental Score*: Undefined
CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L)"
"How to change the maximun string length for properties in ACCE 

HI I am trying to change the maximum string length in ACCE like we will do in FEM but in the more Tab I am not seeing the option

Please guide me","Follow the below steps to update the property definition properties on ACCE: 




 1. Launch ACCE 
 2. Expand the object stores folder and click the object store to open the Object store tab 
 3. Expand the Data Design folder and Classes folder. Click the document class to open Document Class tab 
 4. From Properties tab, open Property Definitions drop down and select the property definition you want to modify 
 5. ACCE will open that property definition in a new Properties tab 
 6. Modify the property definition as required 
 7. Go back to the Class Definition tab and click Save"
Help with Security Bulletin: A security vulnerability has been identified in WebSphere Application Server shipped with WSRR (CVE-2017-1731) I need to understand details regarding Security Bulletin: Vulnerability identified in IBM WebSphere Application Server shipped with IBM WebSphere Service Registry and Repository (CVE-2017-1741). We are running WAS traditional V8.5.  What is the recommended fix?,"· Upgrade to a minimal fix pack levels as required by interim fix and then apply Interim Fix PI89498 [http://www-01.ibm.com/support/docview.wss?uid=swg24044512] 
--OR-- 
· Apply Fix Pack 8.0.0.15 or later."
Does JazzSM 1.1.2.1 support HTTP access? Does JazzSM 1.1.2.1 support HTTP access? ,"By default, the Jazz™ for Service Management application server requires HTTPS access. You can set up the environment for both HTTP and HTTPS, however HTTP access is not supported."
Help with Security Bulletin: IBM MQ is affected by a potential denial of service to channel processes (CVE-2017-1557) I need to understand details regarding Security Bulletin: IBM MQ is affected by a potential denial of service to channel processes (CVE-2017-1557). Where can I find this information?,"CVEID:CVE-2017-1557 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-1557]
DESCRIPTION:IBM MQ could allow an authenticated user with authority to send a specially crafted request that could cause a channel process to cease processing further requests.
CVSS Base Score: 4.3
CVSS Temporal Score: Seehttps://exchange.xforce.ibmcloud.com/vulnerabilities/131547 [https://exchange.xforce.ibmcloud.com/vulnerabilities/131547]for the current score
CVSS Environmental Score*: Undefined
CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L)"
"P8 CPE 5.2.1 error:  FNRCC0110E - ERROR FixedContentProviderCache.getProvider failed to init provider 

New P8 CPE 5.2.1 install does not see the Centera Fixed Storage. The following error is returned:

FNRCC0110E: CONTENT_FCP_OPERATION_FAILED: The [initialize] operation on the fixed content provider [com.filenet.engine.content.fcprovider.centera.CenteraFCP(0)] failed. FPLibrary (Not found in java.library.path)

What is the cause?",Changes made to the setCenteraLibPath.sh or setCenteraLibPath were not picked up by the WAS startup script. The WAS Content Engine instance was restarted from within the WAS console and not from the command line. In this Instance the setCenteraLibPath.sh file was added to the setupcmdLine.sh file but was not recognized . This caused the CenteraSDK path to not be loaded.
"I am running WebSphere App server on 64bit JVM with plenty of free system memory,  how come I still get Native OutOfMemory errors (NOOM)? I am running WebSphere App server on 64bit JVM with plenty of free system memory,  how come I still get Native OutOfMemory errors (NOOM)?","when using compressed references? I am using a 64bit JVM and I clearly have plenty of memory left. How can I resolve this problem?"" 

CAUSE
 

*In this note, please refer to Java Versioning: Java Version.Release.ServiceRelease.FixPack 
ex: Java 7.1.4.6 is the same as Java 7.1 SR4 FP6 is the same as Java 7 R1 SR4 FP6. 
The IBM JVM will automatically use compressed references [http://publib.boulder.ibm.com/infocenter/javasdk/v6r0/topic/com.ibm.java.doc.diagnostics.60/diag/understanding/mm_compressed_references.html]when using a maximum heap size less than 25GB. This automated behavior was introduced in Java 6.1.5.0 and Java 7.0.4.0*. Compressed references (CR) decreases the size of Java objects making better use of available memory space. This better use of space results in improved JVM performance. *(Java 7.0.1.1 and later uses compressed references by default on z/OS) 

See Introducing WebSphere Compressed Reference Technology [ftp://public.dhe.ibm.com/software/webserver/appserv/was/WAS_V7_64-bit_performance.pdf] for detailed information on how Compressed References work. 

""When using compressed references, the size of the field used in the Java object for the Class Pointer and the Monitor/Lock is 32 bits instead of the 64bits that would be available in non-compressed mode. Because we are using 32 bits to store the location of these, and they are located in native (non-Java heap) memory, they must be allocated in the first 4GB of the address space - the maximum range we can address with the 32 bits."""
"P8 CPE 5.2.1 error:  FNRCC0110E - ERROR FixedContentProviderCache.getProvider failed to init provider 

New P8 CPE 5.2.1 install does not see the Centera Fixed Storage. The following error is returned:

FNRCC0110E: CONTENT_FCP_OPERATION_FAILED: The [initialize] operation on the fixed content provider [com.filenet.engine.content.fcprovider.centera.CenteraFCP(0)] failed. FPLibrary (Not found in java.library.path)

How do I fix this?",After making any changes to the setCenteraLibPath.sh or setCenteraLibPath.bat file restart WebSphere from the IBM console or the changes will not be detected.
"What exactly is ""wpcollector"" in WebSphere Portal Server? I've been told to get wpcollector output? What exactly is this?",Wpcollector is a command line tool that automates the collection of portal logs and configuration files. Using automated log collection early in the Case life cycle can greatly reduce the number of doc requests that are made by Support.
Portal v8.5 install fails with INSTCONFFAILED - No Portral logs are written Portal v8.5 install fails with INSTCONFFAILED - No Portral logs are written,"The parsing code is updated so the problem no longer occurs.
   
   The fix for this APAR is currently targeted for inclusion in
   fix pack 8.5.5.6."
"Uninstalling I5 OS agent failed 

I need to uninstall the I5OS agent before reinstalling a newer release of the same.

Command: DLTLICPGM LICPGM(5724C04)

is anyway failing and I don't know how to proceed further. 

Can you please let me know the manual steps to uninstall the i5OS agent correctly ?","To delete the ITM i5/OS agent do the following :- 

First try DLTLICPGM 5724C04 for the Tivoli agent. If that does not work then do 
the following i5/OS commands : 

DLTLIB QAUTOMON 
DLTLIB QAUTOTMP 
DLTUSRPRF QAUTOMON and choose to remove all objects owned by this user.

start qsh 
delete /QIBM/USERDATA/IBM/ITM and all sub directories in it. 
delete /QIBM/PRODDATA/IBM/ITM and all sub directories in it. 

Retry the RSTLICPGM commands specified in the user guide."
"Installed an STAP on a DB Server but it does not show up on my Appliance in S-TAP Control etc 

Installed an STAP on a DB Server but it does not show up on my Appliance in S-TAP Control etc

I get the following messages in the logs:-

/tmp/guard_stap.stderr.txt on the DB Server :- ""Server wasn't heard from for nn sec during this attempt nnn sec total), closing and re-opening""

and from the Guardium Appliance - via fileserver in the /log/opt-ibm-guardium-log/snif/snif.log ""Unauthorized client connecting from ,rejecting""

What is the reason?",One reason for these errors could be that the S-TAP Approval Needed is checked in the S-TAP Certification screen on the Appliance
